age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,year
30.0,unemployed,married,primary,no,1787.0,no,no,cellular,19.0,10,79.0,1.0,-1.0,0.0,unknown,no,2022
33.0,services,married,secondary,no,4789.0,yes,yes,cellular,11.0,5,220.0,1.0,339.0,4.0,failure,no,2022
35.0,management,single,tertiary,no,1350.0,yes,no,cellular,16.0,4,185.0,1.0,330.0,1.0,failure,no,2022
30.0,management,married,tertiary,no,,yes,yes,,3.0,6,199.0,4.0,-1.0,0.0,unknown,no,2022
59.0,blue-collar,married,secondary,no,0.0,yes,no,,5.0,5,226.0,1.0,-1.0,0.0,unknown,no,2022
35.0,management,single,tertiary,no,747.0,no,no,cellular,23.0,2,141.0,2.0,176.0,3.0,failure,no,2022
36.0,self-employed,married,tertiary,no,307.0,yes,no,cellular,14.0,5,341.0,1.0,330.0,2.0,other,no,2022
39.0,technician,married,secondary,no,147.0,yes,no,cellular,6.0,5,151.0,2.0,-1.0,0.0,unknown,no,2022
41.0,entrepreneur,married,tertiary,no,221.0,yes,no,,14.0,5,57.0,2.0,-1.0,0.0,unknown,no,2022
43.0,services,married,primary,no,-88.0,yes,yes,cellular,17.0,4,313.0,1.0,147.0,2.0,failure,no,2022
39.0,services,married,secondary,no,9374.0,yes,no,,20.0,5,273.0,1.0,,0.0,unknown,no,2022
43.0,admin.,married,secondary,no,264.0,yes,no,cellular,17.0,4,113.0,2.0,-1.0,0.0,unknown,no,2022
36.0,technician,married,tertiary,no,1109.0,no,no,cellular,13.0,8,328.0,2.0,-1.0,0.0,unknown,no,2022
20.0,student,single,secondary,no,502.0,no,no,cellular,30.0,4,261.0,1.0,-1.0,0.0,unknown,yes,2022
31.0,blue-collar,married,secondary,no,360.0,yes,yes,cellular,29.0,1,89.0,1.0,241.0,1.0,failure,no,2022
40.0,management,married,tertiary,no,194.0,no,yes,cellular,29.0,8,189.0,2.0,-1.0,0.0,unknown,no,2022
56.0,technician,married,secondary,no,4073.0,no,no,cellular,27.0,8,239.0,5.0,-1.0,0.0,unknown,no,2022
37.0,admin.,single,tertiary,no,2317.0,yes,no,cellular,20.0,4,114.0,1.0,152.0,2.0,failure,no,2022
25.0,blue-collar,single,primary,no,-221.0,yes,no,,23.0,5,250.0,1.0,-1.0,0.0,unknown,no,2022
31.0,services,married,secondary,no,132.0,no,no,cellular,7.0,7,148.0,1.0,152.0,1.0,other,no,2022
38.0,management,divorced,unknown,no,0.0,yes,no,cellular,18.0,11,96.0,2.0,-1.0,0.0,unknown,no,2022
